1,0.8662,0.6105,1.69,0.49
2,0.9490,0.7234,2.27,14.08
3,0.8509,0.7183,0.04,0.01
4,0.8198,0.6742,0.54,0.44
5,0.8464,0.6643,1.07,0.22
6,0.8671,0.6025,7.51,5.94
7,0.8009,0.6620,1.11,0.23
8,0.9544,0.8269,164.28,88.09
9,0.9858,0.9143,0.03,0.09
10,0.8101,0.6731,0.02,0.03
11,0.9240,0.7696,7.22,4.23
12,0.8848,0.6916,0.06,0.02
13,0.8657,0.7608,2.19,1.24
14,0.8924,0.6681,2.14,1.59
15,0.8750,0.7217,2.03,0.11
16,0.9467,0.7872,1.71,1.58
17,0.9617,0.7599,0.51,0.92
18,0.8328,0.6847,0.18,0.13
19,0.8642,0.7375,0.14,0.10
20,0.8656,0.6642,0.20,0.52
21,0.9371,0.8092,19.35,129.85
22,0.8615,0.7584,0.12,0.13
23,0.8339,0.6079,0.38,0.04
24,0.9614,0.6707,0.17,0.02
25,0.9183,0.7128,0.30,0.70
26,0.9188,0.6149,0.21,0.14
27,0.8380,0.7164,0.01,0.03
28,0.9033,0.6955,0.78,3.59
29,0.7939,0.6446,0.01,0.01
30,0.8517,0.7722,0.02,0.01
31,0.9518,0.7639,0.10,0.13
32,0.9542,0.7708,6.83,1.83
33,0.9328,0.7515,2.60,4.27
34,0.9089,0.7524,154.07,7.81
35,0.8911,0.7007,5.17,0.35
36,0.8507,0.6925,4.04,1.06
37,0.8013,0.6636,0.04,0.35
38,0.8898,0.6771,0.02,0.11
39,0.8031,0.6293,0.06,0.08
40,0.8569,0.6954,0.23,0.03
41,0.9244,0.6993,4.33,1.61
42,0.9028,0.7688,0.07,0.11
43,0.8710,0.6630,9.70,0.86
44,0.9106,0.7181,3.66,0.39
45,0.8582,0.7052,0.01,0.04
46,0.9545,0.8279,8.01,11.75
47,0.8401,0.7500,1.08,5.80
48,0.8864,0.6693,0.05,0.05
49,0.8527,0.7285,0.02,0.06
50,0.8766,0.6758,0.06,0.33
51,0.9059,0.7531,0.03,0.02
52,0.9426,0.6473,2.06,1.53
53,0.9164,0.7159,1.12,0.56
54,0.9144,0.8688,0.63,1.84
55,0.9070,0.8164,0.02,0.07
