streamex,0.865905900848,0.866151816293,0.866151816293
raml-java-parser-master,0.94815015165,0.948996245746,0.948996245746
jumblr,0.85050287774,0.850851694669,0.850851694669
commons-pool,0.818949795558,0.819844229161,0.819844229161
hivemall,0.846646840527,0.846417060648,0.846417060648
languagetool,0.857055860993,0.867080755127,0.867095935113
chukwa,0.799722293028,0.800929714646,0.800929714646
camel-core,0.951555650732,0.954410665592,0.954362106313
redline-smalltalk-master,0.98496124031,0.985770138187,0.985770138187
jasmine-maven-plugin,0.810134214113,0.810134214113,0.810134214113
jsprit,0.915921489879,0.926111740891,0.924026364372
gson-fire-new,0.886770591953,0.884769327997,0.884769327997
vraptor_archive,0.865671473155,0.865691749574,0.865691749574
jackson-core,0.891333381832,0.892425454888,0.892425454888
asterisk-java-new,0.875078180899,0.875043155856,0.875043155856
commons-dbcp,0.916264005602,0.947312503433,0.946666460702
raml-java-parser,0.962019579405,0.961712173282,0.961712173282
stream-lib,0.8352855024,0.832814119635,0.832814119635
webbit,0.86415932107,0.864224939303,0.864224939303
asterisk-java,0.864819539399,0.865585207745,0.865585207745
rome-1.5.0,0.864440742758,0.941804572295,0.937092609796
JActor,0.85,0.861538461538,0.861538461538
redline-smalltalk,0.832205382153,0.833851040416,0.833851040416
nv-websocket-client,0.961401513278,0.961401513278,0.961401513278
javapoet,0.911376750579,0.918338822918,0.918332631657
spring-retry,0.918818818819,0.918757218757,0.918757218757
gson-fire,0.836858974359,0.837980769231,0.837980769231
lambdaj-master,0.900340832764,0.903319511288,0.903319511288
restcountries,0.793915929204,0.793915929204,0.793915929204
ews-java-api,0.847618156877,0.851708442449,0.851708442449
protoparser,0.951355046567,0.951815302144,0.951815302144
OpenTripPlanner-otp-0.20.0,0.953048889209,0.954211640116,0.954211640116
jsoup,0.927713189908,0.932760841297,0.932763219349
commons-math,0.908895803971,0.908926458023,0.908917320041
commons-io,0.888947104907,0.891117025144,0.891118334261
assertj-core,0.850781551003,0.850681731422,0.850681731422
LastCalc-0.1,0.801351790716,0.801326780712,0.801326780712
gdx-artemis-master,0.891348297904,0.889802289282,0.889802289282
metrics-core,0.800966183575,0.803087761675,0.803087761675
lanterna,0.857387140903,0.856874145007,0.856874145007
RoaringBitmap,0.919830942872,0.924375604003,0.924375604003
low-gc-membuffers,0.902639517345,0.902815485168,0.902815485168
hbase-1.2.2,0.867344628529,0.870973563757,0.870973563757
blueflood,0.904031219727,0.910574992114,0.910574992114
scribe-java,0.858200118413,0.858200118413,0.858200118413
mapdb-mapdb-1.0.9,0.867892935744,0.95450951808,0.95450951808
la4j,0.713453633287,0.845006251244,0.840075333466
jackson-datatype-guava-new,0.8853515625,0.8863671875,0.8863671875
java-apns,0.852667113045,0.852667113045,0.852667113045
jackson-datatype-guava,0.874094188214,0.876558320499,0.876558320499
java-uuid-generator,0.904495825305,0.905908798972,0.905908798972
la4j-new,0.95113180715,0.942634238357,0.942597181529
joss,0.915335323226,0.916417930073,0.916417930073
jopt-simple,0.914423968917,0.914423968917,0.914423968917
DiskLruCache,0.880931837791,0.907031924072,0.907031924072
