1,30.59,33.78,30.59
2,3.23,5.92,3.23
3,0.19,0.20,0.19
4,4.71,7.39,4.71
5,5.30,6.85,5.30
6,158.88,285.33,158.88
7,5.07,6.33,5.07
8,22606.11,49399.87,22606.11
9,0.03,0.12,0.03
10,0.14,0.14,0.14
11,124.61,473.84,124.61
12,0.04,0.05,0.04
13,107.23,109.04,107.23
14,32.15,38.66,32.15
15,16.76,20.14,16.76
16,11.19,51.10,11.19
17,2.37,4.24,2.37
18,0.83,1.21,0.83
19,0.58,1.00,0.58
20,1.33,1.61,1.33
21,15.60,128.66,15.60
22,0.20,0.34,0.20
23,3.36,3.96,3.36
24,0.44,0.89,0.44
25,1.99,4.20,1.99
26,0.84,1.91,0.84
27,0.01,0.02,0.01
28,2.39,3.87,2.39
29,0.04,0.04,0.04
30,0.03,0.05,0.03
31,0.36,0.60,0.36
32,73.37,110.72,73.37
33,35.28,63.04,35.28
34,18629.96,34942.16,18629.96
35,153.10,240.32,153.10
36,348.64,707.44,348.64
37,0.03,0.03,0.03
38,0.02,0.03,0.02
39,0.34,0.35,0.34
40,0.25,0.40,0.25
41,144.81,253.06,144.81
42,0.15,0.17,0.15
43,127.05,179.64,127.05
44,104.34,193.59,104.34
45,0.07,0.07,0.07
46,170.04,656.66,170.04
47,1.28,22.55,1.28
48,0.13,0.21,0.13
49,0.08,0.08,0.08
50,0.06,0.10,0.06
51,0.08,0.12,0.08
52,25.15,84.31,25.15
53,14.39,25.16,14.39
54,14.69,17.29,14.69
55,0.05,0.08,0.05
